School_Number,School_Name,Tested_Count,Level_1,Level_2,Level_3,Level_4,Level_5,Grade,Attend_Rate_Pct,Withdrawals_Pct,Entrants_Pct,FARMS_Pct,Management_type,charter,pass,Enrolled_Count
205,Woodhome ElementaryMiddle,34,8,10,10,6,0,Grade 5,93.6,16.3,17.6,39.3,Traditional,0,16,376
223,Pimlico Elementary,34,24,7,3,0,0,Grade 3,91,45.2,37.2,70.4,Traditional,0,3,317
261,Lockerman Bundy Elementary,34,4,16,5,9,0,Grade 3,91.4,20.3,20.3,76.3,Traditional,0,14,265
63,Rosemont Elementary,34,8,9,10,7,0,Grade 3,88.1,22.8,14.5,72.6,Charter,1,17,329
262,Empowerment Academy,34,3,10,14,7,0,Grade 5,93.6,2.5,10.8,47.5,Charter,1,21,252
224,Grove Park Elementary,34,17,14,3,0,0,Grade 4,90.6,16.8,26,55.2,Traditional,0,3,260
4,Steuart Hill Academic Academy,35,9,7,12,7,0,Grade 4,92.3,28.8,26.3,85.5,Traditional,0,19,275
58,Dr. Nathan A. PittsAshburton ElementaryMiddle,35,11,13,9,2,0,Grade 4,88,10.9,11.8,59.9,Traditional,0,11,424
62,Edgecombe Circle Elementary,35,15,14,4,2,0,Grade 3,87.5,41.1,27.3,72.9,Traditional,0,6,293
73,Sarah M. Roach Elementary,35,9,14,7,5,0,Grade 5,89.7,22.4,20.9,75.5,Traditional,0,12,235
250,"Dr. Bernard Harris, Sr. Elementary",35,16,14,5,0,0,Grade 5,92.3,22.6,16.7,80.2,Traditional,0,5,352
23,Wolfe Street Academy,35,7,17,8,3,0,Grade 4,97.5,5.6,2.5,62.2,Charter,1,11,235
330,Northwood Appold Community Academy,35,12,13,10,0,0,Grade 3,93,16.4,2.5,48.8,Charter,1,10,193
384,Creative City Public Charter School,35,17,11,4,3,0,Grade 5,90.8,15.4,10.1,55.2,Charter,1,7,363
22,George Washington Elementary,36,16,16,4,0,0,Grade 3,90.8,18.4,10.6,70.5,Traditional,0,4,259
22,George Washington Elementary,36,14,9,8,5,0,Grade 4,90.8,18.4,10.6,70.5,Traditional,0,13,259
58,Dr. Nathan A. PittsAshburton ElementaryMiddle,36,13,4,10,9,0,Grade 3,88,10.9,11.8,59.9,Traditional,0,19,424
97,Collington Square Elementary,36,16,10,4,6,0,Grade 3,85.9,18.3,25.2,84.7,Traditional,0,10,340
