school_number,grade,charter,pass
210,Grade 5,0,0
210,Grade 5,0,0
210,Grade 5,0,0
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,1
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 3,0,0
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,1
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 4,0,0
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,1
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
211,Grade 5,0,0
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,1
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 3,0,0
212,Grade 4,0,1
212,Grade 4,0,1
212,Grade 4,0,1
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 4,0,0
212,Grade 5,0,1
212,Grade 5,0,1
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
212,Grade 5,0,0
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,1
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 3,1,0
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,1
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
